Actual Schedule,Actual FP,Actual SLOC,Req. Review,Design Review,Test Review,Code Review,UT Defects,IT Defects,ST Defects,QA Release Defects,Faults
280,73,4015,89,0,2,15,5,15,22,0,1
86,45,2475,24,0,0,10,3,2,11,0,2
56,92,5060,1,0,0,3,8,13,55,0,2
85,22,1522,0,0,0,0,0,0,0,0,0
90,22.83,1597,0,3,0,1,0,0,1,0,0
82,22,1522,0,1,0,0,0,0,0,0,0
79,163.35,14227.64,0,2,3,5,2,0,10,0,0
51,50.5,4083.894,1,2,1,1,0,0,9,0,0
127,35,2690.645,1,2,2,5,2,0,9,0,0
108,139,11913,1,6,0,4,6,0,13,0,0
123,17,25000,22,14,7,19,11,7,39,0,4
142,46.55,3728.84,0,0,4,6,9,0,10,0,0
83,41,3514,2,3,3,7,4,0,17,0,0
123,48,2649,18,0,0,8,7,21,41,0,5
93,17,920,8,0,0,0,0,2,0,0,0
118,99,5445,51,0,0,12,26,19,50,0,2
29,24,1324,6,0,0,0,0,1,7,0,1
136,74,4070,18,0,5,9,1,0,5,0,0
14,21,1155,5,0,0,1,0,3,4,2,0
155,365,27720,22,5,0,5,0,0,408,15,11
99,49,1000,0,0,0,0,0,0,0,4,0
92,36,800,0,0,0,0,0,0,0,4,0
130,18,500,0,0,0,2,2,0,0,5,0
204,151,8305,24,1,0,21,13,23,46,0,5
115,176,9680,4,0,0,26,3,8,28,0,1
248,183,23424,28,3,34,44,0,0,112,0,6
103,22,,0,0,0,2,4,0,0,0,0
103,44,,0,0,0,0,0,0,0,0,0
103,24,,0,0,0,0,0,0,0,0,0
174,775,99200,53,9,6,9,0,0,361,0,9
81,193,24666,1,0,14,69,0,1,78,0,4
48,31,7700,0,0,0,1,0,0,0,0,0
73,26,,0,0,0,2,0,0,1,0,0
57,66,6597,0,0,0,0,0,0,0,0,0
62,65,1820,0,5,0,0,0,0,0,0,0
136,207,11385,68,9,0,39,37,91,112,0,5
59,133,7315,21,0,0,10,4,23,100,0,13
240,273,15015,48,0,0,21,5,13,35,0,0
180,52,1571,7,10,3,20,0,62,22,0,0
80,67.2,5585,0,0,0,1,0,0,1,0,0
102,440,41406,4,6,8,14,2,0,144,0,0
